Year;Date;Month;Region;Ocurrence
1987;01-01-1987;ENERO;XIV;89
1987;01-01-1987;ENERO;X;306
1987;01-01-1987;ENERO;XI;78
1987;01-01-1987;ENERO;XII;5
1987;01-01-1987;FEBRERO;III;0
1987;01-01-1987;FEBRERO;IV;15
1987;01-01-1987;FEBRERO;V;191
1987;01-01-1987;FEBRERO;RM;44
1987;01-01-1987;FEBRERO;VI;64
1987;01-01-1987;FEBRERO;VII;65
1987;01-01-1987;FEBRERO;VIII;488
1987;01-01-1987;FEBRERO;IX;188
1987;01-01-1987;FEBRERO;XIV;59
1987;01-01-1987;FEBRERO;X;145
1987;01-01-1987;FEBRERO;XI;14
1987;01-01-1987;FEBRERO;XII;1
1987;01-01-1987;MARZO;III;0
1987;01-01-1987;MARZO;IV;4
1987;01-01-1987;MARZO;V;120
1987;01-01-1987;MARZO;RM;26
1987;01-01-1987;MARZO;VI;56
1987;01-01-1987;MARZO;VII;68
1987;01-01-1987;MARZO;VIII;401
1987;01-01-1987;MARZO;IX;178
1987;01-01-1987;MARZO;XIV;80
1987;01-01-1987;MARZO;X;60
1987;01-01-1987;MARZO;XI;11
1987;01-01-1987;MARZO;XII;2
1987;01-01-1987;ABRIL;III;0
1987;01-01-1987;ABRIL;IV;1
1987;01-01-1987;ABRIL;V;52
1987;01-01-1987;ABRIL;RM;0
1987;01-01-1987;ABRIL;VI;37
1987;01-01-1987;ABRIL;VII;10
1987;01-01-1987;ABRIL;VIII;20
1987;01-01-1987;ABRIL;IX;8
1987;01-01-1987;ABRIL;XIV;0
1987;01-01-1987;ABRIL;X;0
1987;01-01-1987;ABRIL;XI;0
1987;01-01-1987;ABRIL;XII;0
1987;01-01-1987;MAYO;III;0
1987;01-01-1987;MAYO;IV;0
1987;01-01-1987;MAYO;V;0
1987;01-01-1987;MAYO;RM;0
1987;01-01-1987;MAYO;VI;0
1987;01-01-1987;MAYO;VII;0
1987;01-01-1987;MAYO;VIII;0
1987;01-01-1987;MAYO;IX;0
1987;01-01-1987;MAYO;XIV;0
1987;01-01-1987;MAYO;X;0
1987;01-01-1987;MAYO;XI;0
1987;01-01-1987;MAYO;XII;0
1987;01-01-1987;JUNIO;III;0
1987;01-01-1987;JUNIO;IV;0
1987;01-01-1987;JUNIO;V;0
1987;01-01-1987;JUNIO;RM;0
1987;01-01-1987;JUNIO;VI;0
1987;01-01-1987;JUNIO;VII;0
1987;01-01-1987;JUNIO;VIII;0
1987;01-01-1987;JUNIO;IX;0
